hour,dayOfWeek,isWeekend,isHoliday,hasPromotion,temperatureC,ordersCount
19,5,0,0,0,22.3,78
20,5,0,0,0,20.3,90
21,5,0,0,0,18.7,62
22,5,0,0,0,17.4,54
23,5,0,0,0,16.6,43
0,6,1,0,0,15.7,7
1,6,1,0,0,16,4
2,6,1,0,0,16.8,3
3,6,1,0,0,18.1,3
4,6,1,0,0,19.7,4
5,6,1,0,0,21.6,9
6,6,1,0,0,23.7,22
7,6,1,0,0,25.8,36
8,6,1,0,0,27.7,50
9,6,1,0,0,29.4,53
10,6,1,0,0,30.6,69
11,6,1,0,0,31.4,75
12,6,1,0,0,31.7,78
13,6,1,0,0,31.4,83
14,6,1,0,0,30.6,90
15,6,1,0,0,29.4,65
16,6,1,0,0,27.7,70
17,6,1,0,0,25.8,75
18,6,1,0,0,23.7,89
19,6,1,0,0,21.6,88
20,6,1,0,0,19.7,98
21,6,1,0,0,18.1,87
22,6,1,0,0,16.8,58
23,6,1,0,0,16,45
0,0,1,1,0,14.9,2
1,0,1,1,0,15.2,2
2,0,1,1,0,16,1
3,0,1,1,0,17.3,1
4,0,1,1,0,18.9,2
5,0,1,1,0,20.9,4
6,0,1,1,0,22.9,8
7,0,1,1,0,25,13
8,0,1,1,0,26.9,21
9,0,1,1,0,28.6,26
10,0,1,1,0,29.9,24
11,0,1,1,0,30.7,32
12,0,1,1,0,30.9,33
13,0,1,1,0,30.7,37
14,0,1,1,0,29.9,34
15,0,1,1,0,28.6,33
16,0,1,1,0,26.9,31
17,0,1,1,0,25,33
18,0,1,1,0,22.9,32
19,0,1,1,0,20.9,43
20,0,1,1,0,18.9,42
21,0,1,1,0,17.3,35
22,0,1,1,0,16,32
23,0,1,1,0,15.2,17
0,1,0,0,0,14,4
1,1,0,0,0,14.3,3
2,1,0,0,0,15.1,2
3,1,0,0,0,16.4,2
4,1,0,0,0,18,3
5,1,0,0,0,20,7
6,1,0,0,0,22,12
7,1,0,0,0,24.1,20
8,1,0,0,0,26,35
9,1,0,0,0,27.7,42
10,1,0,0,0,29,50
11,1,0,0,1,29.8,68
12,1,0,0,1,30,69
13,1,0,0,1,29.8,79
14,1,0,0,1,29,79
15,1,0,0,0,27.7,44
16,1,0,0,0,26,46
17,1,0,0,0,24.1,53
18,1,0,0,0,22,57
19,1,0,0,0,20,58
20,1,0,0,0,18,67
21,1,0,0,0,16.4,51
22,1,0,0,0,15.1,51
23,1,0,0,0,14.3,30
0,2,0,0,0,13,5
1,2,0,0,0,13.3,2
2,2,0,0,0,14.1,2
3,2,0,0,0,15.4,2
4,2,0,0,0,17,3
5,2,0,0,0,19,7
6,2,0,0,0,21,13
7,2,0,0,0,23.1,25
8,2,0,0,0,25,33
9,2,0,0,0,26.7,38
10,2,0,0,0,28,45
11,2,0,0,1,28.8,82
12,2,0,0,1,29,97
13,2,0,0,1,28.8,79
14,2,0,0,1,28,81
15,2,0,0,0,26.7,50
16,2,0,0,0,25,47
17,2,0,0,0,23.1,62
18,2,0,0,0,21,59
19,2,0,0,0,19,77
20,2,0,0,0,17,73
21,2,0,0,0,15.4,66
22,2,0,0,0,14.1,48
23,2,0,0,0,13.3,30
0,3,0,0,0,12,4
1,3,0,0,0,12.3,2
2,3,0,0,0,13.1,2
3,3,0,0,0,14.3,2
4,3,0,0,0,16,3
5,3,0,0,0,17.9,7
6,3,0,0,0,20,16
7,3,0,0,0,22.1,25
8,3,0,0,0,24,38
9,3,0,0,0,25.7,49
10,3,0,0,0,26.9,55
11,3,0,0,1,27.7,82
12,3,0,0,1,28,75
13,3,0,0,1,27.7,82
14,3,0,0,1,26.9,90
15,3,0,0,0,25.7,57
16,3,0,0,0,24,50
17,3,0,0,0,22.1,53
18,3,0,0,0,20,72
19,3,0,0,0,17.9,73
20,3,0,0,0,16,65
21,3,0,0,0,14.3,47
22,3,0,0,0,13.1,50
23,3,0,0,0,12.3,29
0,4,0,0,0,11,5
1,4,0,0,0,11.2,2
2,4,0,0,0,12,2
3,4,0,0,0,13.3,2
4,4,0,0,0,15,3
5,4,0,0,0,16.9,8
6,4,0,0,0,19,14
7,4,0,0,0,21,21
8,4,0,0,0,23,30
9,4,0,0,0,24.6,39
10,4,0,0,0,25.9,47
11,4,0,0,1,26.7,76
12,4,0,0,1,27,74
13,4,0,0,1,26.7,87
14,4,0,0,1,25.9,78
15,4,0,0,0,24.6,44
16,4,0,0,0,23,38
17,4,0,0,0,21,54
18,4,0,0,0,19,58
19,4,0,0,0,16.9,77
20,4,0,0,0,15,67
21,4,0,0,0,13.3,49
22,4,0,0,0,12,39
23,4,0,0,0,11.2,35
0,5,0,0,0,10,5
1,5,0,0,0,10.2,4
2,5,0,0,0,11,2
3,5,0,0,0,12.3,2
4,5,0,0,0,14,3
5,5,0,0,0,15.9,10
6,5,0,0,0,18,17
7,5,0,0,0,20,33
8,5,0,0,0,22,38
9,5,0,0,0,23.6,41
10,5,0,0,0,24.9,50
11,5,0,0,1,25.7,91
12,5,0,0,1,26,115
13,5,0,0,1,25.7,108
14,5,0,0,1,24.9,92
15,5,0,0,0,23.6,53
16,5,0,0,0,22,59
17,5,0,0,0,20,57
18,5,0,0,0,18,67
19,5,0,0,0,15.9,92
20,5,0,0,0,14,68
21,5,0,0,0,12.3,61
22,5,0,0,0,11,57
23,5,0,0,0,10.2,37
0,6,1,0,0,9.1,6
1,6,1,0,0,9.3,4
2,6,1,0,0,10.1,2
3,6,1,0,0,11.4,2
4,6,1,0,0,13.1,3
5,6,1,0,0,15,12
6,6,1,0,0,17.1,17
7,6,1,0,0,19.1,37
8,6,1,0,0,21.1,48
9,6,1,0,0,22.7,48
10,6,1,0,0,24,54
11,6,1,0,0,24.8,71
12,6,1,0,0,25.1,89
13,6,1,0,0,24.8,69
14,6,1,0,0,24,74
15,6,1,0,0,22.7,60
16,6,1,0,0,21.1,55
17,6,1,0,0,19.1,77
18,6,1,0,0,17.1,79
19,6,1,0,0,15,101
20,6,1,0,0,13.1,83
21,6,1,0,0,11.4,61
22,6,1,0,0,10.1,59
23,6,1,0,0,9.3,38
0,0,1,0,0,8.3,4
1,0,1,0,0,8.6,2
2,0,1,0,0,9.4,2
3,0,1,0,0,10.6,1
4,0,1,0,0,12.3,2
5,0,1,0,0,14.2,6
6,0,1,0,0,16.3,11
7,0,1,0,0,18.4,21
8,0,1,0,0,20.3,31
9,0,1,0,0,21.9,34
10,0,1,0,0,23.2,37
11,0,1,0,0,24,45
12,0,1,0,0,24.3,41
13,0,1,0,0,24,40
14,0,1,0,0,23.2,39
15,0,1,0,0,21.9,43
16,0,1,0,0,20.3,37
17,0,1,0,0,18.4,46
18,0,1,0,0,16.3,57
19,0,1,0,0,14.2,52
20,0,1,0,0,12.3,42
21,0,1,0,0,10.6,39
22,0,1,0,0,9.4,37
23,0,1,0,0,8.6,29
0,1,0,1,0,7.7,3
1,1,0,1,0,7.9,1
2,1,0,1,0,8.7,1
3,1,0,1,0,10,1
4,1,0,1,0,11.7,2
5,1,0,1,0,13.6,4
6,1,0,1,0,15.7,9
7,1,0,1,0,17.7,16
8,1,0,1,0,19.7,19
9,1,0,1,0,21.3,25
10,1,0,1,0,22.6,29
11,1,0,1,1,23.4,43
12,1,0,1,1,23.7,50
13,1,0,1,1,23.4,43
14,1,0,1,1,22.6,50
15,1,0,1,0,21.3,30
16,1,0,1,0,19.7,30
17,1,0,1,0,17.7,39
18,1,0,1,0,15.7,37
19,1,0,1,0,13.6,42
20,1,0,1,0,11.7,41
21,1,0,1,0,10,34
22,1,0,1,0,8.7,29
23,1,0,1,0,7.9,20
0,2,0,0,0,7.2,4
1,2,0,0,0,7.5,3
2,2,0,0,0,8.3,2
3,2,0,0,0,9.6,2
4,2,0,0,0,11.2,3
5,2,0,0,0,13.2,8
6,2,0,0,0,15.2,14
7,2,0,0,0,17.3,26
8,2,0,0,0,19.2,39
9,2,0,0,0,20.9,39
10,2,0,0,0,22.2,50
11,2,0,0,1,23,68
12,2,0,0,1,23.2,75
13,2,0,0,1,23,75
14,2,0,0,1,22.2,77
15,2,0,0,0,20.9,44
16,2,0,0,0,19.2,50
17,2,0,0,0,17.3,54
18,2,0,0,0,15.2,63
19,2,0,0,0,13.2,57
20,2,0,0,0,11.2,67
21,2,0,0,0,9.6,52
22,2,0,0,0,8.3,44
23,2,0,0,0,7.5,30
0,3,0,0,0,7,5
1,3,0,0,0,7.3,3
2,3,0,0,0,8.1,2
3,3,0,0,0,9.4,2
4,3,0,0,0,11,3
5,3,0,0,0,13,6
6,3,0,0,0,15,17
7,3,0,0,0,17.1,22
8,3,0,0,0,19,31
9,3,0,0,0,20.7,38
10,3,0,0,0,22,48
11,3,0,0,1,22.8,74
12,3,0,0,1,23,71
13,3,0,0,1,22.8,71
14,3,0,0,1,22,78
15,3,0,0,0,20.7,46
16,3,0,0,0,19,43
17,3,0,0,0,17.1,50
18,3,0,0,0,15,69
19,3,0,0,0,13,57
20,3,0,0,0,11,70
21,3,0,0,0,9.4,55
22,3,0,0,0,8.1,47
23,3,0,0,0,7.3,31
0,4,0,0,0,7,4
1,4,0,0,0,7.3,2
2,4,0,0,0,8.1,2
3,4,0,0,0,9.4,2
4,4,0,0,0,11,2
5,4,0,0,0,13,7
6,4,0,0,0,15,14
7,4,0,0,0,17.1,28
8,4,0,0,0,19,32
9,4,0,0,0,20.7,39
10,4,0,0,0,22,49
11,4,0,0,1,22.8,64
12,4,0,0,1,23,86
13,4,0,0,1,22.8,72
14,4,0,0,1,22,69
15,4,0,0,0,20.7,48
16,4,0,0,0,19,49
17,4,0,0,0,17.1,51
18,4,0,0,0,15,73
19,4,0,0,0,13,55
20,4,0,0,0,11,58
21,4,0,0,0,9.4,61
22,4,0,0,0,8.1,47
23,4,0,0,0,7.3,31
0,5,0,0,0,7.2,6
1,5,0,0,0,7.5,4
2,5,0,0,0,8.3,2
3,5,0,0,0,9.6,2
4,5,0,0,0,11.2,3
5,5,0,0,0,13.2,9
6,5,0,0,0,15.2,18
7,5,0,0,0,17.3,26
8,5,0,0,0,19.2,47
9,5,0,0,0,20.9,45
10,5,0,0,0,22.2,55
11,5,0,0,1,23,90
12,5,0,0,1,23.2,89
13,5,0,0,1,23,91
14,5,0,0,1,22.2,88
15,5,0,0,0,20.9,56
16,5,0,0,0,19.2,58
17,5,0,0,0,17.3,56
18,5,0,0,0,15.2,83
19,5,0,0,0,13.2,68
20,5,0,0,0,11.2,68
21,5,0,0,0,9.6,57
22,5,0,0,0,8.3,53
23,5,0,0,0,7.5,34
0,6,1,0,0,7.7,6
1,6,1,0,0,7.9,3
2,6,1,0,0,8.7,3
3,6,1,0,0,10,2
4,6,1,0,0,11.7,4
5,6,1,0,0,13.6,10
6,6,1,0,0,15.7,18
7,6,1,0,0,17.7,30
8,6,1,0,0,19.7,41
9,6,1,0,0,21.3,49
10,6,1,0,0,22.6,55
11,6,1,0,0,23.4,73
12,6,1,0,0,23.7,67
13,6,1,0,0,23.4,77
14,6,1,0,0,22.6,74
15,6,1,0,0,21.3,67
16,6,1,0,0,19.7,62
17,6,1,0,0,17.7,61
18,6,1,0,0,15.7,77
19,6,1,0,0,13.6,72
20,6,1,0,0,11.7,88
21,6,1,0,0,10,65
22,6,1,0,0,8.7,56
23,6,1,0,0,7.9,45
0,0,1,0,0,8.3,3
1,0,1,0,0,8.6,2
2,0,1,0,0,9.4,1
3,0,1,0,0,10.6,2
4,0,1,0,0,12.3,2
5,0,1,0,0,14.2,6
6,0,1,0,0,16.3,13
7,0,1,0,0,18.4,18
8,0,1,0,0,20.3,26
9,0,1,0,0,21.9,30
10,0,1,0,0,23.2,34
11,0,1,0,0,24,50
12,0,1,0,0,24.3,42
13,0,1,0,0,24,48
14,0,1,0,0,23.2,41
15,0,1,0,0,21.9,38
16,0,1,0,0,20.3,39
17,0,1,0,0,18.4,41
18,0,1,0,0,16.3,57
19,0,1,0,0,14.2,43
20,0,1,0,0,12.3,48
21,0,1,0,0,10.6,47
22,0,1,0,0,9.4,39
23,0,1,0,0,8.6,27
0,1,0,0,0,9.1,4
1,1,0,0,0,9.3,2
2,1,0,0,0,10.1,2
3,1,0,0,0,11.4,2
4,1,0,0,0,13.1,2
5,1,0,0,0,15,8
6,1,0,0,0,17.1,12
7,1,0,0,0,19.1,25
8,1,0,0,0,21.1,30
9,1,0,0,0,22.7,40
10,1,0,0,0,24,42
11,1,0,0,1,24.8,61
12,1,0,0,1,25.1,69
13,1,0,0,1,24.8,68
14,1,0,0,1,24,73
15,1,0,0,0,22.7,50
16,1,0,0,0,21.1,36
17,1,0,0,0,19.1,51
18,1,0,0,0,17.1,63
19,1,0,0,0,15,60
20,1,0,0,0,13.1,61
21,1,0,0,0,11.4,44
22,1,0,0,0,10.1,43
23,1,0,0,0,9.3,30
0,2,0,0,0,10,5
1,2,0,0,0,10.2,3
2,2,0,0,0,11,2
3,2,0,0,0,12.3,2
4,2,0,0,0,14,2
5,2,0,0,0,15.9,8
6,2,0,0,0,18,16
7,2,0,0,0,20,21
8,2,0,0,0,22,30
9,2,0,0,0,23.6,36
10,2,0,0,0,24.9,49
11,2,0,0,1,25.7,75
12,2,0,0,1,26,94
13,2,0,0,1,25.7,91
14,2,0,0,1,24.9,61
15,2,0,0,0,23.6,52
16,2,0,0,0,22,47
17,2,0,0,0,20,63
18,2,0,0,0,18,61
19,2,0,0,0,15.9,74
20,2,0,0,0,14,65
21,2,0,0,0,12.3,54
22,2,0,0,0,11,44
23,2,0,0,0,10.2,32
0,3,0,0,0,11,4
1,3,0,0,0,11.2,2
2,3,0,0,0,12,2
3,3,0,0,0,13.3,2
4,3,0,0,0,15,3
5,3,0,0,0,16.9,8
6,3,0,0,0,19,16
7,3,0,0,0,21,26
8,3,0,0,0,23,33
9,3,0,0,0,24.6,38
10,3,0,0,0,25.9,51
11,3,0,0,1,26.7,69
12,3,0,0,1,27,88
13,3,0,0,1,26.7,89
14,3,0,0,1,25.9,85
15,3,0,0,0,24.6,56
16,3,0,0,0,23,45
17,3,0,0,0,21,57
18,3,0,0,0,19,58
19,3,0,0,0,16.9,76
20,3,0,0,0,15,61
21,3,0,0,0,13.3,57
22,3,0,0,0,12,50
23,3,0,0,0,11.2,28
